"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"23 Jan 2019";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"1000MERCIS";"FR0010285965";"ALMIL";"Euronext Growth Paris";"EUR";"28.00";"28.00";"27.70";"27.80";"22/01/2019 17:12";"CET";"924";"25755.70"
"2CRSI";"FR0013341781";"2CRSI";"Euronext Paris";"EUR";"9.16";"9.24";"9.00";"9.00";"22/01/2019 17:35";"CET";"9910";"90464.44"
"2VALORISE";"BE0974275076";"VALOR";"Euronext Brussels";"EUR";"6.00";"6.00";"6.00";"6.00";"18/01/2019 16:30";"CET";"840";"5040.00"
"4SERVICE CLOUD";"CH0299791381";"MLOVE";"Euronext Access Paris";"EUR";"0.11";"0.11";"0.11";"0.11";"18/01/2019 11:30";"CET";"150";"16.50"
"A TOUTE VITESSE";"FR0010050773";"MLATV";"Euronext Access Paris";"EUR";"1.13";"1.13";"1.13";"1.13";"22/01/2019 16:30";"CET";"781";"882.53"
"A.S.T. GROUPE";"FR0000076887";"ASP";"Euronext Paris";"EUR";"5.88";"5.88";"5.34";"5.41";"22/01/2019 17:35";"CET";"41799";"234821.12"
"AALBERTS INDUSTR";"NL0000852564";"AALB";"Euronext Amsterdam";"EUR";"29.97";"30.00";"29.45";"29.69";"22/01/2019 17:37";"CET";"154438";"4588084.34"
"AB INBEV";"BE0974293251";"ABI";"Euronext Brussels";"EUR";"64.70";"64.94";"64.02";"64.15";"22/01/2019 17:35";"CET";"1946840";"125287127.98"
"AB SCIENCE";"FR0010557264";"AB";"Euronext Paris";"EUR";"3.90";"3.90";"3.818";"3.844";"22/01/2019 17:35";"CET";"16943";"65404.91"
"ABC ARBITRAGE";"FR0004040608";"ABCA";"Euronext Paris";"EUR";"6.20";"6.20";"6.13";"6.13";"22/01/2019 17:35";"CET";"15846";"97514.93"
"ABEO";"FR0013185857";"ABEO";"Euronext Paris";"EUR";"30.60";"31.00";"30.60";"31.00";"22/01/2019 17:22";"CET";"4905";"151925.70"
"ABIVAX";"FR0012333284";"ABVX";"Euronext Paris";"EUR";"9.86";"10.08";"9.51";"9.60";"22/01/2019 17:35";"CET";"20345";"196839.31"
"ABN AMRO Group";"NL0011540547";"ABN";"Euronext Amsterdam";"EUR";"22.59";"22.64";"22.37";"22.41";"22/01/2019 17:35";"CET";"1884449";"42320169.50"
"ABO GROUP";"BE0974278104";"ABO";"Euronext Brussels";"EUR";"2.06";"2.06";"2.06";"2.06";"22/01/2019 11:30";"CET";"21";"43.26"
"ACACIA PHARMA";"GB00BYWF9Y76";"ACPH";"Euronext Brussels";"EUR";"1.6582";"1.6582";"1.585";"1.622";"22/01/2019 17:35";"CET";"38173";"62631.40"
"ACANTHE DEV.";"FR0000064602";"ACAN";"Euronext Paris";"EUR";"0.514";"0.516";"0.506";"0.506";"22/01/2019 16:06";"CET";"3641";"1859.88"
"ACCELL GROUP";"NL0009767532";"ACCEL";"Euronext Amsterdam";"EUR";"18.64";"18.98";"18.64";"18.82";"22/01/2019 17:35";"CET";"26674";"504399.00"
"ACCENTIS";"BE0003696102";"ACCB";"Euronext Brussels";"EUR";"0.041";"0.0415";"0.041";"0.041";"22/01/2019 14:09";"CET";"353715";"14502.69"
"ACCOR";"FR0000120404";"AC";"Euronext Paris";"EUR";"38.76";"39.15";"38.76";"38.95";"22/01/2019 17:35";"CET";"429841";"16749449.03"
"ACCOR NV19";"FR0013390556";"ACNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ACCSYS";"GB00BQQFX454";"AXS";"Euronext Amsterdam";"EUR";"1.35";"1.355";"1.34";"1.355";"22/01/2019 17:35";"CET";"30546";"41134.87"
"ACHETER-LOUER.FR";"FR0010493510";"ALALO";"Euronext Growth Paris";"EUR";"0.0232";"0.0236";"0.0226";"0.023";"22/01/2019 16:01";"CET";"159531";"3641.04"
"ACKERMANS V.HAAREN";"BE0003764785";"ACKB";"Euronext Brussels";"EUR";"139.90";"140.40";"138.90";"139.40";"22/01/2019 17:35";"CET";"15039";"2099160.80"
"ACTEOS";"FR0000076861";"EOS";"Euronext Paris";"EUR";"1.95";"2.14";"1.95";"2.03";"22/01/2019 17:24";"CET";"39392";"79614.82"
"ACTIA GROUP";"FR0000076655";"ATI";"Euronext Paris";"EUR";"3.47";"3.47";"3.37";"3.44";"22/01/2019 17:35";"CET";"14982";"51017.36"
"ACTIPLAY (GROUPE)";"FR0011038348";"ALACT";"Euronext Growth Paris";"EUR";"0.96";"0.96";"0.96";"0.96";"22/01/2019 09:00";"CET";"1";"0.96"
"ACTIVIUM GROUP";"FR0010979377";"MLACT";"Euronext Access Paris";"EUR";"0.70";"0.70";"0.70";"0.70";"21/01/2019 16:30";"CET";"153";"107.10"
"ADA";"FR0000053076";"ALADA";"Euronext Growth Paris";"EUR";"9.25";"9.25";"9.00";"9.20";"22/01/2019 11:56";"CET";"81";"735.25"
"ADC SIIC";"BE0974269012";"ALDV";"Euronext Paris";"EUR";"0.095";"0.095";"0.095";"0.095";"17/01/2019 16:30";"CET";"100";"9.50"
"ADEUNIS";"FR0013284627";"ALARF";"Euronext Growth Paris";"EUR";"6.66";"6.799";"6.66";"6.799";"22/01/2019 17:35";"CET";"551";"3690.51"
"ADL PARTNER";"FR0000062978";"ALP";"Euronext Paris";"EUR";"14.85";"14.85";"14.20";"14.40";"22/01/2019 17:08";"CET";"1443";"20981.05"
"ADOCIA";"FR0011184241";"ADOC";"Euronext Paris";"EUR";"15.26";"15.26";"14.74";"14.84";"22/01/2019 17:35";"CET";"6701";"100083.46"
"ADOMOS";"FR0013247244";"ALADO";"Euronext Growth Paris";"EUR";"0.822";"0.848";"0.80";"0.80";"22/01/2019 17:35";"CET";"69560";"56333.25"
"ADOMOS BS";"FR0013247228";"ALABS";"Euronext Growth Paris";"EUR";"0.007";"0.007";"0.0056";"0.006";"22/01/2019 17:35";"CET";"2901789";"17867.52"
"ADP";"FR0010340141";"ADP";"Euronext Paris";"EUR";"164.50";"167.10";"164.50";"166.20";"22/01/2019 17:35";"CET";"59336";"9863605.10"
"ADTHINK";"FR0010457531";"ALADM";"Euronext Growth Paris";"EUR";"0.88";"0.90";"0.85";"0.90";"22/01/2019 17:19";"CET";"1000";"861.87"
"ADUX";"FR0012821890";"ADUX";"Euronext Paris";"EUR";"3.02";"3.19";"3.02";"3.19";"22/01/2019 16:39";"CET";"13200";"41576.48"
"ADVENIS";"FR0004152874";"ADV";"Euronext Paris";"EUR";"1.405";"1.45";"1.405";"1.45";"22/01/2019 15:37";"CET";"4469";"6473.93"
"ADVICENNE";"FR0013296746";"ADVIC";"Euronext Paris";"EUR";"10.622";"10.622";"10.622";"10.622";"22/01/2019 16:58";"CET";"12";"127.46"
"ADVINI";"FR0000053043";"ADVI";"Euronext Paris";"EUR";"28.00";"28.00";"28.00";"28.00";"21/01/2019 13:51";"CET";"34";"952.00"
"ADYEN";"NL0012969182";"ADYEN";"Euronext Amsterdam";"EUR";"629.70";"644.00";"626.80";"642.60";"22/01/2019 17:36";"CET";"59563";"37913958.10"
"AEDIFICA";"BE0003851681";"AED";"Euronext Brussels";"EUR";"77.80";"78.30";"77.20";"77.20";"22/01/2019 17:35";"CET";"23354";"1812959.10"
"AEGON";"NL0000303709";"AGN";"Euronext Amsterdam";"EUR";"4.516";"4.539";"4.472";"4.515";"22/01/2019 17:37";"CET";"6628301";"29880165.96"
"AFONE PARTICIP.";"FR0000044612";"AFO";"Euronext Paris";"EUR";"11.40";"11.60";"11.30";"11.60";"22/01/2019 17:17";"CET";"2228";"25433.70"
"AG3I";"FR0011908045";"MLAGI";"Euronext Access Paris";"EUR";"3.46";"3.46";"3.46";"3.46";"12/11/2018 12:53";"CET";"12";"41.52"
"AGEAS";"BE0974264930";"AGS";"Euronext Brussels";"EUR";"40.80";"40.85";"40.53";"40.63";"22/01/2019 17:35";"CET";"399080";"16231997.35"
"AGFA-GEVAERT";"BE0003755692";"AGFB";"Euronext Brussels";"EUR";"3.338";"3.41";"3.338";"3.392";"22/01/2019 17:35";"CET";"158356";"536854.13"
"AGROGENERATION";"FR0010641449";"ALAGR";"Euronext Growth Paris";"EUR";"0.132";"0.1375";"0.114";"0.119";"22/01/2019 17:35";"CET";"1707845";"214610.57"
"AGTA RECORD";"CH0008853209";"AGTA";"Euronext Paris";"EUR";"66.50";"66.50";"66.50";"66.50";"22/01/2019 09:00";"CET";"1";"66.50"
"AGUAS DA CURIA";"PTCUR0AP0000";"CUR";"Euronext Access Lisbon";"EUR";"1.17";"1.17";"1.17";"1.17";"06/09/2017 20:30";"BST";"32";"37.44"
"AHOLD DEL";"NL0011794037";"AD";"Euronext Amsterdam, Brussels";"EUR";"22.44";"22.625";"22.30";"22.455";"22/01/2019 17:39";"CET";"3798651";"85360944.05"
"AIR FRANCE -KLM";"FR0000031122";"AF";"Euronext Paris, Amsterdam";"EUR";"10.335";"10.715";"10.33";"10.69";"22/01/2019 17:39";"CET";"5387520";"57108527.19"
"AIR LIQUIDE";"FR0000120073";"AI";"Euronext Paris";"EUR";"104.50";"105.30";"104.05";"104.90";"22/01/2019 17:35";"CET";"675364";"70727609.80"
"AIR MARINE";"FR0013285103";"MLAIM";"Euronext Access Paris";"EUR";"3.294";"3.294";"3.294";"3.294";"21/01/2019 11:30";"CET";"30";"98.82"
"AIRBUS";"NL0000235190";"AIR";"Euronext Paris";"EUR";"94.53";"95.05";"93.88";"94.75";"22/01/2019 17:36";"CET";"1284328";"121517405.30"
"AJAX";"NL0000018034";"AJAX";"Euronext Amsterdam";"EUR";"15.25";"15.30";"15.20";"15.30";"22/01/2019 17:16";"CET";"1508";"23001.60"
"AKKA TECHNOLOGIES";"FR0004180537";"AKA";"Euronext Paris";"EUR";"51.70";"52.00";"50.80";"51.50";"22/01/2019 17:35";"CET";"12738";"656644.00"
"AKWEL";"FR0000053027";"AKW";"Euronext Paris";"EUR";"16.38";"16.38";"15.96";"15.96";"22/01/2019 17:35";"CET";"9535";"153264.74"
"AKZO NOBEL";"NL0013267909";"AKZA";"Euronext Amsterdam";"EUR";"73.66";"75.92";"73.66";"75.56";"22/01/2019 00:00";"CET";"627538";"47236998.10"
"ALBIOMA";"FR0000060402";"ABIO";"Euronext Paris";"EUR";"19.60";"19.80";"19.26";"19.80";"22/01/2019 17:39";"CET";"19313";"379185.56"
"ALD";"FR0013258662";"ALD";"Euronext Paris";"EUR";"11.75";"12.04";"11.72";"11.97";"22/01/2019 17:35";"CET";"94924";"1131436.35"
"ALES GROUPE";"FR0000054652";"ALPHY";"Euronext Growth Paris";"EUR";"3.93";"3.93";"3.93";"3.93";"22/01/2019 11:07";"CET";"1601";"6291.93"
"ALFEN";"NL0012817175";"ALFEN";"Euronext Amsterdam";"EUR";"12.82";"12.95";"12.77";"12.77";"22/01/2019 17:35";"CET";"4402";"56609.34"
"ALPES (COMPAGNIE)";"FR0000053324";"CDA";"Euronext Paris";"EUR";"24.05";"24.05";"23.45";"23.55";"22/01/2019 17:35";"CET";"7586";"180000.65"
"ALPHA MOS";"FR0000062804";"ALM";"Euronext Paris";"EUR";"0.42";"0.42";"0.378";"0.409";"22/01/2019 13:16";"CET";"113209";"46248.20"
"ALSTOM";"FR0010220475";"ALO";"Euronext Paris";"EUR";"35.09";"35.09";"34.18";"34.59";"22/01/2019 17:36";"CET";"900599";"31121515.63"
"ALTAMIR";"FR0000053837";"LTA";"Euronext Paris";"EUR";"15.08";"15.12";"14.96";"15.02";"22/01/2019 17:35";"CET";"442";"6621.14"
"ALTAREA";"FR0000033219";"ALTA";"Euronext Paris";"EUR";"176.00";"178.00";"173.40";"177.00";"22/01/2019 17:35";"CET";"2415";"426262.00"
"ALTAREIT";"FR0000039216";"AREIT";"Euronext Paris";"EUR";"436.00";"436.00";"436.00";"436.00";"22/01/2019 11:30";"CET";"1";"436.00"
"ALTEN";"FR0000071946";"ATE";"Euronext Paris";"EUR";"77.20";"79.15";"77.15";"78.50";"22/01/2019 17:35";"CET";"59895";"4688282.15"
"ALTICE EUROPE B";"NL0011333760";"ATCB";"Euronext Amsterdam";"EUR";"1.726";"1.75";"1.70";"1.712";"22/01/2019 17:35";"CET";"30614";"52924.40"
"ALTICE EUROPE N.V.";"NL0011333752";"ATC";"Euronext Amsterdam";"EUR";"1.723";"1.7595";"1.691";"1.7135";"22/01/2019 17:36";"CET";"4906908";"8472685.45"
"ALTRAN TECHN.";"FR0000034639";"ALT";"Euronext Paris";"EUR";"8.21";"8.34";"8.17";"8.255";"22/01/2019 17:35";"CET";"832137";"6856242.42"
"ALTRI SGPS";"PTALT0AE0002";"ALTR";"Euronext Lisbon";"EUR";"6.95";"7.04";"6.83";"6.91";"22/01/2019 22:35";"BST";"328385";"2273198.18"
"ALTUR INVEST.";"FR0010395681";"ALTUR";"Euronext Paris";"EUR";"5.56";"5.68";"5.56";"5.68";"22/01/2019 15:43";"CET";"3001";"16927.36"
"ALUMEXX N.V.";"NL0012194724";"ALX";"Euronext Amsterdam";"EUR";"0.546";"0.568";"0.53";"0.55";"22/01/2019 15:16";"CET";"10705";"5840.56"
"ALVEEN";"FR0013253812";"MLALV";"Euronext Access Paris";"EUR";"0.3851";"0.3851";"0.3851";"0.3851";"29/11/2018 16:30";"CET";"116";"44.68"
"AMATHEON AGRI";"NL0010273694";"MLAAH";"Euronext Access Paris";"EUR";"0.244";"0.244";"0.244";"0.244";"22/01/2019 11:30";"CET";"1";"0.24"
"AMG";"NL0000888691";"AMG";"Euronext Amsterdam";"EUR";"31.56";"31.96";"30.84";"30.92";"22/01/2019 17:35";"CET";"414873";"13069381.24"
"AMOEBA";"FR0011051598";"AMEBA";"Euronext Paris";"EUR";"2.30";"2.32";"2.26";"2.275";"22/01/2019 17:21";"CET";"5849";"13346.52"
"AMPLITUDE SURGICAL";"FR0012789667";"AMPLI";"Euronext Paris";"EUR";"3.26";"3.26";"3.21";"3.21";"22/01/2019 16:27";"CET";"5540";"17953.82"
"AMSTERDAM COMMOD.";"NL0000313286";"ACOMO";"Euronext Amsterdam";"EUR";"18.38";"18.72";"18.38";"18.46";"22/01/2019 17:35";"CET";"4571";"84739.98"
"AMUNDI";"FR0004125920";"AMUN";"Euronext Paris";"EUR";"49.20";"49.38";"48.88";"49.21";"22/01/2019 17:35";"CET";"85037";"4181980.87"
"AND INTERNATIONAL";"NL0000430106";"AND";"Euronext Amsterdam";"EUR";"2.40";"2.40";"2.40";"2.40";"22/01/2019 15:16";"CET";"1";"2.40"
"ANEVIA";"FR0011910652";"ALANV";"Euronext Growth Paris";"EUR";"1.98";"1.98";"1.98";"1.98";"22/01/2019 09:00";"CET";"1";"1.98"
"ANTALIS";"FR0013258589";"ANTA";"Euronext Paris";"EUR";"0.922";"0.938";"0.913";"0.938";"22/01/2019 17:21";"CET";"26096";"24274.52"
"ANTARES CERT";"BE0003676872";"ANT";"Euronext Brussels";"EUR";"53.00";"53.00";"53.00";"53.00";"22/01/2019 11:31";"CET";"127";"6731.00"
"ANTEVENIO";"ES0109429037";"ALANT";"Euronext Growth Paris";"EUR";"7.82";"7.82";"7.78";"7.78";"22/01/2019 15:59";"CET";"166";"1293.82"
"AP ALTERNAT ASSETS";"GB00B15Y0C52";"AAA";"Euronext Amsterdam";"USD";"0.12";"0.12";"0.12";"0.12";"18/01/2019 15:34";"CET";"1621";"170.60"
"APERAM";"LU0569974404";"APAM";"Euronext Amsterdam, Brussels, Paris";"EUR";"25.80";"25.80";"24.77";"25.21";"22/01/2019 17:35";"CET";"300931";"7562510.99"
"APRIL";"FR0004037125";"APR";"Euronext Paris";"EUR";"20.90";"20.90";"20.70";"20.90";"22/01/2019 17:35";"CET";"36534";"760187.10"
"AQUILA";"FR0010340711";"ALAQU";"Euronext Growth Paris";"EUR";"7.15";"7.15";"6.55";"6.55";"22/01/2019 16:30";"CET";"1625";"11594.75"
"ARCADIS";"NL0006237562";"ARCAD";"Euronext Amsterdam";"EUR";"11.45";"11.66";"11.45";"11.59";"22/01/2019 17:35";"CET";"120341";"1392626.77"
"ARCELORMITTAL SA";"LU1598757687";"MT";"Euronext Amsterdam, Paris";"EUR";"19.584";"19.668";"18.872";"18.944";"22/01/2019 17:35";"CET";"5260203";"100743402.38"
"ARCHOS";"FR0000182479";"JXR";"Euronext Paris";"EUR";"0.3245";"0.339";"0.3245";"0.3275";"22/01/2019 17:35";"CET";"403774";"134699.54"
"ARDOIN ST AMAND A";"FR0005057635";"MLARD";"Euronext Access Paris";"EUR";"62.00";"62.00";"62.00";"62.00";"12/12/2018 11:30";"CET";"50";"3100.00"
"ARDOIN ST AMAND B";"FR0004070795";"ARDO";"Euronext Access Paris";"EUR";"80.00";"80.00";"80.00";"80.00";"07/09/2016 15:30";"CET";"4";"320.00"
"ARGAN";"FR0010481960";"ARG";"Euronext Paris";"EUR";"46.60";"47.40";"46.60";"46.90";"22/01/2019 17:35";"CET";"437";"20677.50"
"ARGENX SE";"NL0010832176";"ARGX";"Euronext Brussels";"EUR";"92.00";"94.40";"91.50";"92.70";"22/01/2019 17:35";"CET";"337652";"34369177.70"
"ARKEMA";"FR0010313833";"AKE";"Euronext Paris";"EUR";"83.04";"84.12";"82.14";"82.86";"22/01/2019 17:35";"CET";"275738";"22849667.72"
"ARTEA";"FR0012185536";"ARTE";"Euronext Paris";"EUR";"15.10";"15.10";"14.50";"14.50";"22/01/2019 16:54";"CET";"38";"561.60"
"ARTEFACT";"FR0000079683";"ALATF";"Euronext Growth Paris";"EUR";"2.38";"2.48";"2.38";"2.41";"22/01/2019 17:35";"CET";"15674";"37976.27"
"ARTHUR MAURY";"FR0013268067";"MLAMY";"Euronext Access Paris";"EUR";"3.60";"3.60";"3.60";"3.60";"19/01/2018 14:38";"CET";"6600";"23760.00"
"ARTOIS NOM.";"FR0000076952";"ARTO";"Euronext Paris";"EUR";"5050.00";"5050.00";"5050.00";"5050.00";"22/01/2019 16:30";"CET";"1";"5050.00"
"ARTPRICE COM";"FR0000074783";"PRC";"Euronext Paris";"EUR";"15.00";"15.16";"14.54";"14.74";"22/01/2019 17:35";"CET";"9440";"139467.60"
"ASCENCIO";"BE0003856730";"ASC";"Euronext Brussels";"EUR";"50.80";"50.80";"50.40";"50.60";"22/01/2019 17:35";"CET";"3538";"178916.60"
"ASHLER ET MANSON";"FR0012968485";"MLAEM";"Euronext Access Paris";"EUR";"1.55";"1.55";"1.55";"1.55";"22/01/2019 11:30";"CET";"220";"341.00"
"ASIT";"BE0974289218";"ASIT";"Euronext Brussels, Paris";"EUR";"1.42";"1.42";"1.385";"1.415";"22/01/2019 17:27";"CET";"34324";"48178.75"
"ASM INTERNATIONAL";"NL0000334118";"ASM";"Euronext Amsterdam";"EUR";"39.10";"39.47";"38.38";"38.68";"22/01/2019 17:35";"CET";"186476";"7268979.83"
"ASML HOLDING";"NL0010273215";"ASML";"Euronext Amsterdam";"EUR";"142.12";"142.90";"140.08";"141.36";"22/01/2019 17:38";"CET";"1331203";"188356490.58"
"ASR NEDERLAND";"NL0011872643";"ASRNL";"Euronext Amsterdam";"EUR";"37.00";"37.32";"36.96";"37.12";"22/01/2019 17:37";"CET";"217033";"8058171.26"
"ASSICURAZ.GEN.ORD.";"IT0000062072";"GEN";"Traded not listed Brussels";"EUR";"15.56";"15.56";"15.56";"15.56";"21/01/2019 16:56";"CET";"33";"513.48"
"ASSIMA";"GB00B19RTX44";"ALSIM";"Euronext Growth Paris";"EUR";"1.95";"1.95";"1.95";"1.95";"27/11/2018 14:07";"CET";"200";"390.00"
"ASSYSTEM";"FR0000074148";"ASY";"Euronext Paris";"EUR";"28.50";"29.30";"28.50";"29.30";"22/01/2019 17:35";"CET";"3381";"98399.70"
"ATARI";"FR0010478248";"ATA";"Euronext Paris";"EUR";"0.338";"0.345";"0.333";"0.339";"22/01/2019 17:35";"CET";"330311";"111580.49"
"ATEME";"FR0011992700";"ATEME";"Euronext Paris";"EUR";"12.90";"13.02";"12.10";"12.60";"22/01/2019 17:35";"CET";"14813";"187660.80"
"ATENOR";"BE0003837540";"ATEB";"Euronext Brussels";"EUR";"53.40";"53.60";"52.60";"53.60";"22/01/2019 17:29";"CET";"2150";"114496.80"
"ATOS";"FR0000051732";"ATO";"Euronext Paris";"EUR";"72.72";"73.56";"72.20";"72.78";"22/01/2019 17:35";"CET";"209114";"15234513.68"
"ATOS NV19";"FR0013384641";"ATONV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ATRIUM EUR REALEST";"JE00B3DCF752";"ATRS";"Euronext Amsterdam";"EUR";"3.34";"3.34";"3.34";"3.34";"22/01/2019 10:45";"CET";"144";"480.96"
"AUBAY";"FR0000063737";"AUB";"Euronext Paris";"EUR";"32.90";"32.95";"32.00";"32.25";"22/01/2019 17:35";"CET";"42844";"1392032.05"
"AUDIENCE LABS";"FR0011896463";"MLAUD";"Euronext Access Paris";"EUR";"7.70";"7.70";"7.70";"7.70";"22/05/2018 16:30";"CET";"13";"100.10"
"AUDIOVALLEY";"BE0974334667";"ALAVY";"Euronext Growth Paris";"EUR";"4.78";"4.78";"4.71";"4.779";"22/01/2019 17:35";"CET";"1444";"6853.41"
"AUGROS COSMETICS";"FR0000061780";"AUGR";"Euronext Paris";"EUR";"5.60";"5.60";"5.60";"5.60";"21/01/2019 13:29";"CET";"90";"504.00"
"AUPLATA";"FR0010397760";"ALAUP";"Euronext Growth Paris";"EUR";"0.0501";"0.0505";"0.045";"0.0483";"22/01/2019 17:35";"CET";"14925446";"710140.26"
"AUREA";"FR0000039232";"AURE";"Euronext Paris";"EUR";"5.84";"5.84";"5.52";"5.56";"22/01/2019 17:05";"CET";"3090";"17516.48"
"AURES TECHNOLOGIES";"FR0013183589";"AURS";"Euronext Paris";"EUR";"35.10";"35.30";"34.85";"35.00";"22/01/2019 17:28";"CET";"5675";"198834.15"
"AVANTIUM";"NL0012047823";"AVTX";"Euronext Amsterdam, Brussels";"EUR";"1.95";"1.95";"1.76";"1.842";"22/01/2019 17:26";"CET";"83546";"153801.34"
"AVENIR TELECOM";"FR0000066052";"AVT";"Euronext Paris";"EUR";"0.158";"0.159";"0.154";"0.158";"22/01/2019 15:06";"CET";"65741";"10215.50"
"AWOX";"FR0011800218";"AWOX";"Euronext Paris";"EUR";"1.32";"1.55";"1.315";"1.485";"22/01/2019 17:35";"CET";"217675";"311550.83"
"AXA";"FR0000120628";"CS";"Euronext Paris";"EUR";"20.38";"20.42";"20.25";"20.395";"22/01/2019 17:36";"CET";"5258655";"107053336.06"
"AXA NV19";"FR0013383528";"CSNV";"Euronext Paris";"EUR";"18.94";"18.94";"18.94";"18.94";"22/01/2019 11:31";"CET";"1857";"35171.58"
"AXWAY SOFTWARE";"FR0011040500";"AXW";"Euronext Paris";"EUR";"12.34";"12.54";"12.22";"12.22";"22/01/2019 17:35";"CET";"4027";"49918.64"
"AZ LEASING";"IT0004812258";"MLAZL";"Euronext Access Paris";"EUR";"1.40";"1.40";"1.40";"1.40";"21/12/2018 11:30";"CET";"2";"2.80"
"AZOREAN TECH";"PTAZR0AM0006";"MLAAT";"Euronext Access Paris";"EUR";"0.092";"0.092";"0.092";"0.092";"05/09/2018 16:30";"CET";"3";"0.28"
"B&S Group";"LU1789205884";"BSGR";"Euronext Amsterdam";"EUR";"12.72";"13.03";"12.72";"13.00";"22/01/2019 17:35";"CET";"119374";"1538151.88"
"B.COM.PORTUGUES";"PTBCP0AM0015";"BCP";"Euronext Lisbon";"EUR";"0.2429";"0.2429";"0.2364";"0.24";"22/01/2019 22:35";"BST";"40782253";"9746979.09"
"BACCARAT";"FR0000064123";"BCRA";"Euronext Paris";"EUR";"200.00";"200.00";"200.00";"200.00";"22/01/2019 11:30";"CET";"26";"5200.00"
"BAIKOWSKI";"FR0013384369";"ALBKK";"Euronext Growth Paris";"EUR";"14.598";"14.60";"14.50";"14.60";"22/01/2019 17:29";"CET";"1157";"16882.17"
"BAINS MER MONACO";"MC0000031187";"BAIN";"Euronext Paris";"EUR";"48.40";"48.40";"48.40";"48.40";"22/01/2019 09:57";"CET";"110";"5324.00"
"BALTA GROUP";"BE0974314461";"BALTA";"Euronext Brussels";"EUR";"3.345";"3.345";"3.29";"3.31";"22/01/2019 17:35";"CET";"10630";"35107.28"
"BALYO";"FR0013258399";"BALYO";"Euronext Paris";"EUR";"3.90";"4.05";"3.85";"3.88";"22/01/2019 17:35";"CET";"41143";"161273.99"
"BAM GROEP KON";"NL0000337319";"BAMNB";"Euronext Amsterdam";"EUR";"2.932";"2.936";"2.884";"2.89";"22/01/2019 17:35";"CET";"730129";"2121151.87"
"BANCO BILBAO VIZC.";"ES0113211835";"BBV";"Traded not listed Brussels";"EUR";"5.15";"5.15";"5.15";"5.15";"22/01/2019 17:03";"CET";"1100";"5665.00"
"BANCO SANTANDER";"ES0113900J37";"SANTA";"Traded not listed Brussels";"EUR";"4.359";"4.359";"4.359";"4.359";"21/01/2019 09:00";"CET";"30";"130.77"
"BANIMMO A";"BE0003870871";"BANI";"Euronext Brussels";"EUR";"3.54";"3.54";"3.54";"3.54";"22/01/2019 17:19";"CET";"270";"955.80"
"BARBARA BUI";"FR0000062788";"BUI";"Euronext Paris";"EUR";"7.00";"7.00";"7.00";"7.00";"02/01/2019 11:30";"CET";"1";"7.00"
"BARCO";"BE0003790079";"BAR";"Euronext Brussels";"EUR";"102.40";"103.40";"101.20";"101.40";"22/01/2019 17:35";"CET";"7076";"721227.60"
"BARINGS CORE SPAIN";"ES0105362000";"MLBAR";"Euronext Access Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"BASIC-FIT";"NL0011872650";"BFIT";"Euronext Amsterdam";"EUR";"24.45";"26.80";"24.35";"26.30";"22/01/2019 17:35";"CET";"81849";"2103755.25"
"BASILIX CERT";"BE0003674851";"BAS";"Euronext Brussels";"EUR";"16.20";"16.20";"16.20";"16.20";"17/01/2019 11:30";"CET";"30";"486.00"
"BASTIDE LE CONFORT";"FR0000035370";"BLC";"Euronext Paris";"EUR";"30.00";"30.50";"29.60";"30.00";"22/01/2019 17:35";"CET";"8884";"267205.00"
"BATENBURG TECHNIEK";"NL0006292906";"BATEN";"Euronext Amsterdam";"EUR";"43.20";"43.20";"43.00";"43.00";"22/01/2019 15:51";"CET";"257";"11079.20"
"BATLA MINERALS";"FR0010436170";"MLBAT";"Euronext Access Paris";"EUR";"0.58";"0.58";"0.58";"0.58";"22/01/2019 11:30";"CET";"380";"220.40"
"BD MULTI MEDIA";"FR0000035305";"ALBDM";"Euronext Growth Paris";"EUR";"1.02";"1.02";"1.02";"1.02";"22/01/2019 13:17";"CET";"1240";"1264.80"
"BE Semiconductor";"NL0012866412";"BESI";"Euronext Amsterdam";"EUR";"19.65";"19.68";"18.998";"19.122";"22/01/2019 17:35";"CET";"547024";"10551934.60"
"BEAULIEU-AV. CERT";"BE0003661726";"BEAB";"Euronext Brussels";"EUR";"71.40";"71.40";"71.40";"71.40";"22/01/2019 11:30";"CET";"40";"2856.00"
"BEFIMMO";"BE0003678894";"BEFB";"Euronext Brussels";"EUR";"50.00";"50.00";"49.20";"49.35";"22/01/2019 17:35";"CET";"13938";"689990.60"
"BEKAERT";"BE0974258874";"BEKB";"Euronext Brussels";"EUR";"22.02";"22.24";"21.82";"22.06";"22/01/2019 17:35";"CET";"55958";"1231853.06"
"BELIER";"FR0000072399";"BELI";"Euronext Paris";"EUR";"35.90";"36.00";"35.30";"36.00";"22/01/2019 17:29";"CET";"1509";"53795.80"
